cerebral sagittal section of cerebral hemisphere,0
coronal section of cranium through anterior horn of lateral ventricle,1
coronal section of cranium through trigone and posterior horn of lateral ventricle,2
coronal section of cranium through body of lateral ventricle,3
coronal section of cranium through frontal lobe,4
coronal section of cranium through cerebellum,5
coronal section of cranium through occipital lobe,6
parasagittal section of cranium,7
median sagittal section of cranium,8
others,9
midline of brain,10
corpus callosum,11
anterior horn of lateral ventricle,12
cavum septi pellucidi,13
caudate nucleus,14
lentiform nucleus,15
amygdaloid complex,16
lateral sulcus,17
insular lobe,18
third ventricle,19
chiasmatic cistern,20
cavernous sinus,21
superior frontal sulcus,22
body of lateral ventricle,23
thalamic,24
interpeduncular fossa,25
brainstem,26
cerebral peduncle,27
cingulate sulcus,28
lateral ventricle,29
choroid plexus,30
hippocampal formation,31
fourth ventricle,32
vermis of cerebellum,33
cerebellomedullary cistern,34
calcarine sulcus,35
parieto-occipital sulcus,36
cerebellum,37
centrum semiovale,38
cerebellar hemisphere,39
midbrain,40
frontal lobe white matter,41
orbit,42
hippocampus,43
