dual view image,0
quad view image,1
spectral image,2
maxillary alveolar transverse plane,3
upper abdomen gallbladder level transverse plane,4
others,5
eyeball horizontal transverse plane,6
bilateral kidney transverse plane,7
cervical internal os sagittal plane,8
ulna radius coronal plane tibia fibula coronal plane calf sagittal plane,9
partial cardiac plane,10
palm coronal plane plantar plane,11
hard palate oblique coronal plane,12
long-axis plane of the femur or humerus,13
kidney diaphragm coronal plane,14
kidney diaphragm sagittal plane,15
placental umbilical cord insertion plane,16
umbilical cord abdominal wall insertion transverse plane,17
lumbosacral coccygeal spine sagittal plane cervicothoracic spine sagittal plane,18
bladder horizontal transverse plane color doppler,19
soft palate oblique coronal plane,20
second and third trimester cranial coronal and sagittal plane,21
cranial plane,22
facial coronal plane,23
facial median sagittal plane,24
nasolabial coronal plane,25
